data,qtdCasos
2020-03-18,1
2020-03-19,1
2020-03-20,1
2020-03-21,1
2020-03-22,1
2020-03-23,2
2020-03-24,3
2020-03-25,5
2020-03-26,6
2020-03-27,10
2020-03-28,14
2020-03-29,14
2020-03-30,17
2020-03-31,18
2020-04-01,21
2020-04-02,29
2020-04-03,32
2020-04-04,34
2020-04-05,35
2020-04-06,36
2020-04-07,41
2020-04-08,55
2020-04-09,79
2020-04-10,85
2020-04-11,101
2020-04-12,111
2020-04-13,136
2020-04-14,152
2020-04-15,165
2020-04-16,195
2020-04-17,205
2020-04-18,236
2020-04-19,245
2020-04-20,263
2020-04-21,301
2020-04-22,345
2020-04-23,386
2020-04-24,447
2020-04-25,499
2020-04-26,543
2020-04-27,633
2020-04-28,698
2020-04-29,814
2020-04-30,926
2020-05-01,1034
2020-05-02,1169
2020-05-03,1219
2020-05-04,1361
2020-05-05,1493
2020-05-06,1657
2020-05-07,1849
2020-05-08,2031
2020-05-09,2156
2020-05-10,2341
2020-05-11,2525
2020-05-12,2777
2020-05-13,3045
2020-05-14,3361
2020-05-15,3739
2020-05-16,4063
2020-05-17,4347
2020-05-18,4786
2020-05-19,5300
2020-05-20,5838
2020-05-21,6238
2020-05-22,6882
2020-05-23,7508
2020-05-24,7823
2020-05-25,8016
2020-05-26,8919
2020-05-27,10209
2020-05-28,11132
2020-05-29,12011
2020-05-30,12862
2020-05-31,13162
2020-06-01,13695
2020-06-02,14859
2020-06-03,16018
2020-06-04,17579
2020-06-05,18579
2020-06-06,19787
2020-06-07,20310
2020-06-08,20951
2020-06-09,22452
2020-06-10,24032
2020-06-11,25370
2020-06-12,26556
2020-06-13,27454
2020-06-14,28013
2020-06-15,28668
2020-06-16,30128
2020-06-17,31712
2020-06-18,33382
2020-06-19,35098
2020-06-20,36526
2020-06-21,36789
2020-06-22,37258
2020-06-23,39004
2020-06-24,39917
2020-06-25,40829
2020-06-26,42837
2020-06-27,44247
2020-06-28,44684
2020-06-29,45062
2020-06-30,46962
2020-07-01,48180
2020-07-02,49541
2020-07-03,50770
2020-07-04,52311
2020-07-05,52733
2020-07-06,53151
2020-07-07,54807
2020-07-08,56349
2020-07-09,57619
2020-07-10,59123
2020-07-11,60426
2020-07-12,60784
