bairro,data,casos,acumulado
Acácio Figueiredo,2020-03-20,0.0,0.0
Acácio Figueiredo,2020-03-21,0.0,0.0
Acácio Figueiredo,2020-03-22,0.0,0.0
Acácio Figueiredo,2020-03-23,0.0,0.0
Acácio Figueiredo,2020-03-24,0.0,0.0
Acácio Figueiredo,2020-03-25,0.0,0.0
Acácio Figueiredo,2020-03-26,0.0,0.0
Acácio Figueiredo,2020-03-27,0.0,0.0
Acácio Figueiredo,2020-03-28,0.0,0.0
Acácio Figueiredo,2020-03-29,0.0,0.0
Acácio Figueiredo,2020-03-30,0.0,0.0
Acácio Figueiredo,2020-03-31,0.0,0.0
Acácio Figueiredo,2020-04-01,0.0,0.0
Acácio Figueiredo,2020-04-02,0.0,0.0
Acácio Figueiredo,2020-04-03,0.0,0.0
Acácio Figueiredo,2020-04-04,0.0,0.0
Acácio Figueiredo,2020-04-05,0.0,0.0
Acácio Figueiredo,2020-04-06,0.0,0.0
Acácio Figueiredo,2020-04-07,0.0,0.0
Acácio Figueiredo,2020-04-08,0.0,0.0
Acácio Figueiredo,2020-04-09,0.0,0.0
Acácio Figueiredo,2020-04-10,0.0,0.0
Acácio Figueiredo,2020-04-11,0.0,0.0
Acácio Figueiredo,2020-04-12,0.0,0.0
Acácio Figueiredo,2020-04-13,0.0,0.0
Acácio Figueiredo,2020-04-14,0.0,0.0
Acácio Figueiredo,2020-04-15,0.0,0.0
Acácio Figueiredo,2020-04-16,0.0,0.0
Acácio Figueiredo,2020-04-17,0.0,0.0
Acácio Figueiredo,2020-04-18,0.0,0.0
Acácio Figueiredo,2020-04-19,0.0,0.0
Acácio Figueiredo,2020-04-20,0.0,0.0
Acácio Figueiredo,2020-04-21,0.0,0.0
Acácio Figueiredo,2020-04-22,0.0,0.0
Acácio Figueiredo,2020-04-23,0.0,0.0
Acácio Figueiredo,2020-04-24,1.0,0.0
Acácio Figueiredo,2020-04-25,0.0,1.0
Acácio Figueiredo,2020-04-26,0.0,1.0
Acácio Figueiredo,2020-04-27,0.0,1.0
Acácio Figueiredo,2020-04-28,0.0,1.0
Acácio Figueiredo,2020-04-29,0.0,1.0
Acácio Figueiredo,2020-04-30,0.0,1.0
Acácio Figueiredo,2020-05-01,0.0,1.0
Acácio Figueiredo,2020-05-02,0.0,1.0
Acácio Figueiredo,2020-05-03,0.0,1.0
Acácio Figueiredo,2020-05-04,0.0,1.0
Acácio Figueiredo,2020-05-05,0.0,1.0
Acácio Figueiredo,2020-05-06,0.0,1.0
Acácio Figueiredo,2020-05-07,0.0,1.0
Acácio Figueiredo,2020-05-08,1.0,1.0
Acácio Figueiredo,2020-05-09,0.0,2.0
Acácio Figueiredo,2020-05-10,0.0,2.0
Acácio Figueiredo,2020-05-11,0.0,2.0
Acácio Figueiredo,2020-05-12,0.0,2.0
Acácio Figueiredo,2020-05-13,0.0,2.0
Acácio Figueiredo,2020-05-14,0.0,2.0
Acácio Figueiredo,2020-05-15,0.0,2.0
Acácio Figueiredo,2020-05-16,0.0,2.0
Acácio Figueiredo,2020-05-17,0.0,2.0
Acácio Figueiredo,2020-05-18,1.0,2.0
Acácio Figueiredo,2020-05-19,1.0,3.0
Acácio Figueiredo,2020-05-20,1.0,4.0
Acácio Figueiredo,2020-05-21,0.0,5.0
Acácio Figueiredo,2020-05-22,2.0,5.0
Acácio Figueiredo,2020-05-23,0.0,7.0
Acácio Figueiredo,2020-05-24,0.0,7.0
Acácio Figueiredo,2020-05-25,0.0,7.0
Acácio Figueiredo,2020-05-26,0.0,7.0
Acácio Figueiredo,2020-05-27,0.0,7.0
Acácio Figueiredo,2020-05-28,0.0,7.0
Acácio Figueiredo,2020-05-29,1.0,7.0
Acácio Figueiredo,2020-05-30,0.0,8.0
Acácio Figueiredo,2020-05-31,0.0,8.0
Acácio Figueiredo,2020-06-01,0.0,8.0
Acácio Figueiredo,2020-06-02,0.0,8.0
Acácio Figueiredo,2020-06-03,2.0,8.0
Acácio Figueiredo,2020-06-04,0.0,10.0
Acácio Figueiredo,2020-06-05,0.0,10.0
Acácio Figueiredo,2020-06-06,1.0,10.0
Acácio Figueiredo,2020-06-07,0.0,11.0
Acácio Figueiredo,2020-06-08,0.0,11.0
Acácio Figueiredo,2020-06-09,2.0,11.0
Acácio Figueiredo,2020-06-10,2.0,13.0
Acácio Figueiredo,2020-06-11,5.0,15.0
Acácio Figueiredo,2020-06-12,4.0,20.0
Acácio Figueiredo,2020-06-13,0.0,24.0
Acácio Figueiredo,2020-06-14,1.0,24.0
Acácio Figueiredo,2020-06-15,2.0,25.0
Acácio Figueiredo,2020-06-16,0.0,27.0
Acácio Figueiredo,2020-06-17,1.0,27.0
Acácio Figueiredo,2020-06-18,1.0,28.0
Acácio Figueiredo,2020-06-19,3.0,29.0
Acácio Figueiredo,2020-06-20,1.0,32.0
Acácio Figueiredo,2020-06-21,0.0,33.0
Acácio Figueiredo,2020-06-22,5.0,33.0
Acácio Figueiredo,2020-06-23,1.0,38.0
Acácio Figueiredo,2020-06-24,5.0,39.0
Acácio Figueiredo,2020-06-25,1.0,44.0
Acácio Figueiredo,2020-06-26,0.0,45.0
Acácio Figueiredo,2020-06-27,0.0,45.0
Acácio Figueiredo,2020-06-28,0.0,45.0
Acácio Figueiredo,2020-06-29,0.0,45.0
Acácio Figueiredo,2020-06-30,1.0,45.0
Acácio Figueiredo,2020-07-01,4.0,46.0
Acácio Figueiredo,2020-07-02,3.0,50.0
Acácio Figueiredo,2020-07-03,0.0,53.0
Alto Branco,2020-03-20,1.0,0.0
Alto Branco,2020-03-21,0.0,1.0
Alto Branco,2020-03-22,0.0,1.0
Alto Branco,2020-03-23,0.0,1.0
Alto Branco,2020-03-24,0.0,1.0
Alto Branco,2020-03-25,0.0,1.0
Alto Branco,2020-03-26,0.0,1.0
Alto Branco,2020-03-27,0.0,1.0
Alto Branco,2020-03-28,0.0,1.0
Alto Branco,2020-03-29,0.0,1.0
Alto Branco,2020-03-30,0.0,1.0
Alto Branco,2020-03-31,0.0,1.0
Alto Branco,2020-04-01,0.0,1.0
Alto Branco,2020-04-02,0.0,1.0
Alto Branco,2020-04-03,0.0,1.0
Alto Branco,2020-04-04,0.0,1.0
Alto Branco,2020-04-05,0.0,1.0
Alto Branco,2020-04-06,0.0,1.0
Alto Branco,2020-04-07,0.0,1.0
Alto Branco,2020-04-08,0.0,1.0
Alto Branco,2020-04-09,0.0,1.0
Alto Branco,2020-04-10,0.0,1.0
Alto Branco,2020-04-11,0.0,1.0
Alto Branco,2020-04-12,0.0,1.0
Alto Branco,2020-04-13,0.0,1.0
Alto Branco,2020-04-14,0.0,1.0
Alto Branco,2020-04-15,0.0,1.0
Alto Branco,2020-04-16,1.0,1.0
Alto Branco,2020-04-17,0.0,2.0
Alto Branco,2020-04-18,0.0,2.0
Alto Branco,2020-04-19,0.0,2.0
Alto Branco,2020-04-20,0.0,2.0
Alto Branco,2020-04-21,0.0,2.0
Alto Branco,2020-04-22,0.0,2.0
Alto Branco,2020-04-23,0.0,2.0
Alto Branco,2020-04-24,0.0,2.0
Alto Branco,2020-04-25,0.0,2.0
Alto Branco,2020-04-26,0.0,2.0
Alto Branco,2020-04-27,1.0,2.0
Alto Branco,2020-04-28,3.0,3.0
Alto Branco,2020-04-29,1.0,6.0
Alto Branco,2020-04-30,0.0,7.0
Alto Branco,2020-05-01,0.0,7.0
Alto Branco,2020-05-02,0.0,7.0
Alto Branco,2020-05-03,2.0,7.0
Alto Branco,2020-05-04,2.0,9.0
Alto Branco,2020-05-05,1.0,11.0
Alto Branco,2020-05-06,2.0,12.0
Alto Branco,2020-05-07,0.0,14.0
Alto Branco,2020-05-08,3.0,14.0
Alto Branco,2020-05-09,0.0,17.0
Alto Branco,2020-05-10,0.0,17.0
Alto Branco,2020-05-11,2.0,17.0
Alto Branco,2020-05-12,3.0,19.0
Alto Branco,2020-05-13,5.0,22.0
Alto Branco,2020-05-14,1.0,27.0
Alto Branco,2020-05-15,3.0,28.0
Alto Branco,2020-05-16,2.0,31.0
Alto Branco,2020-05-17,0.0,33.0
Alto Branco,2020-05-18,1.0,33.0
Alto Branco,2020-05-19,3.0,34.0
Alto Branco,2020-05-20,3.0,37.0
Alto Branco,2020-05-21,8.0,40.0
Alto Branco,2020-05-22,9.0,48.0
Alto Branco,2020-05-23,0.0,57.0
Alto Branco,2020-05-24,0.0,57.0
Alto Branco,2020-05-25,3.0,57.0
Alto Branco,2020-05-26,2.0,60.0
Alto Branco,2020-05-27,5.0,62.0
Alto Branco,2020-05-28,9.0,67.0
Alto Branco,2020-05-29,15.0,76.0
Alto Branco,2020-05-30,6.0,91.0
Alto Branco,2020-05-31,3.0,97.0
Alto Branco,2020-06-01,6.0,100.0
Alto Branco,2020-06-02,10.0,106.0
Alto Branco,2020-06-03,5.0,116.0
Alto Branco,2020-06-04,3.0,121.0
Alto Branco,2020-06-05,9.0,124.0
Alto Branco,2020-06-06,3.0,133.0
Alto Branco,2020-06-07,4.0,136.0
Alto Branco,2020-06-08,10.0,140.0
Alto Branco,2020-06-09,9.0,150.0
Alto Branco,2020-06-10,8.0,159.0
Alto Branco,2020-06-11,9.0,167.0
Alto Branco,2020-06-12,9.0,176.0
Alto Branco,2020-06-13,2.0,185.0
Alto Branco,2020-06-14,3.0,187.0
Alto Branco,2020-06-15,9.0,190.0
Alto Branco,2020-06-16,7.0,199.0
Alto Branco,2020-06-17,14.0,206.0
Alto Branco,2020-06-18,12.0,220.0
Alto Branco,2020-06-19,5.0,232.0
Alto Branco,2020-06-20,0.0,237.0
Alto Branco,2020-06-21,0.0,237.0
Alto Branco,2020-06-22,6.0,237.0
Alto Branco,2020-06-23,7.0,243.0
Alto Branco,2020-06-24,2.0,250.0
Alto Branco,2020-06-25,8.0,252.0
Alto Branco,2020-06-26,9.0,260.0
Alto Branco,2020-06-27,3.0,269.0
Alto Branco,2020-06-28,0.0,272.0
Alto Branco,2020-06-29,9.0,272.0
Alto Branco,2020-06-30,4.0,281.0
Alto Branco,2020-07-01,9.0,285.0
Alto Branco,2020-07-02,5.0,294.0
Alto Branco,2020-07-03,1.0,299.0
Aluísio Campos,2020-03-20,0.0,0.0
Aluísio Campos,2020-03-21,0.0,0.0
Aluísio Campos,2020-03-22,0.0,0.0
Aluísio Campos,2020-03-23,0.0,0.0
Aluísio Campos,2020-03-24,0.0,0.0
Aluísio Campos,2020-03-25,0.0,0.0
Aluísio Campos,2020-03-26,0.0,0.0
Aluísio Campos,2020-03-27,0.0,0.0
Aluísio Campos,2020-03-28,0.0,0.0
Aluísio Campos,2020-03-29,0.0,0.0
Aluísio Campos,2020-03-30,0.0,0.0
Aluísio Campos,2020-03-31,0.0,0.0
Aluísio Campos,2020-04-01,0.0,0.0
Aluísio Campos,2020-04-02,0.0,0.0
Aluísio Campos,2020-04-03,0.0,0.0
Aluísio Campos,2020-04-04,0.0,0.0
Aluísio Campos,2020-04-05,0.0,0.0
Aluísio Campos,2020-04-06,0.0,0.0
Aluísio Campos,2020-04-07,0.0,0.0
Aluísio Campos,2020-04-08,0.0,0.0
Aluísio Campos,2020-04-09,0.0,0.0
Aluísio Campos,2020-04-10,0.0,0.0
Aluísio Campos,2020-04-11,0.0,0.0
Aluísio Campos,2020-04-12,0.0,0.0
Aluísio Campos,2020-04-13,0.0,0.0
Aluísio Campos,2020-04-14,0.0,0.0
Aluísio Campos,2020-04-15,0.0,0.0
Aluísio Campos,2020-04-16,0.0,0.0
Aluísio Campos,2020-04-17,0.0,0.0
Aluísio Campos,2020-04-18,0.0,0.0
Aluísio Campos,2020-04-19,0.0,0.0
Aluísio Campos,2020-04-20,0.0,0.0
Aluísio Campos,2020-04-21,0.0,0.0
Aluísio Campos,2020-04-22,0.0,0.0
Aluísio Campos,2020-04-23,0.0,0.0
Aluísio Campos,2020-04-24,0.0,0.0
Aluísio Campos,2020-04-25,0.0,0.0
Aluísio Campos,2020-04-26,0.0,0.0
Aluísio Campos,2020-04-27,0.0,0.0
Aluísio Campos,2020-04-28,0.0,0.0
Aluísio Campos,2020-04-29,0.0,0.0
Aluísio Campos,2020-04-30,0.0,0.0
Aluísio Campos,2020-05-01,0.0,0.0
Aluísio Campos,2020-05-02,0.0,0.0
Aluísio Campos,2020-05-03,1.0,0.0
Aluísio Campos,2020-05-04,0.0,1.0
Aluísio Campos,2020-05-05,0.0,1.0
Aluísio Campos,2020-05-06,0.0,1.0
Aluísio Campos,2020-05-07,0.0,1.0
Aluísio Campos,2020-05-08,0.0,1.0
Aluísio Campos,2020-05-09,0.0,1.0
Aluísio Campos,2020-05-10,0.0,1.0
Aluísio Campos,2020-05-11,0.0,1.0
Aluísio Campos,2020-05-12,1.0,1.0
Aluísio Campos,2020-05-13,0.0,2.0
Aluísio Campos,2020-05-14,1.0,2.0
Aluísio Campos,2020-05-15,0.0,3.0
Aluísio Campos,2020-05-16,0.0,3.0
Aluísio Campos,2020-05-17,0.0,3.0
Aluísio Campos,2020-05-18,0.0,3.0
Aluísio Campos,2020-05-19,0.0,3.0
Aluísio Campos,2020-05-20,0.0,3.0
Aluísio Campos,2020-05-21,1.0,3.0
Aluísio Campos,2020-05-22,1.0,4.0
Aluísio Campos,2020-05-23,0.0,5.0
Aluísio Campos,2020-05-24,0.0,5.0
Aluísio Campos,2020-05-25,0.0,5.0
Aluísio Campos,2020-05-26,0.0,5.0
Aluísio Campos,2020-05-27,1.0,5.0
Aluísio Campos,2020-05-28,0.0,6.0
Aluísio Campos,2020-05-29,1.0,6.0
Aluísio Campos,2020-05-30,2.0,7.0
Aluísio Campos,2020-05-31,0.0,9.0
Aluísio Campos,2020-06-01,0.0,9.0
Aluísio Campos,2020-06-02,0.0,9.0
Aluísio Campos,2020-06-03,0.0,9.0
Aluísio Campos,2020-06-04,0.0,9.0
Aluísio Campos,2020-06-05,2.0,9.0
Aluísio Campos,2020-06-06,1.0,11.0
Aluísio Campos,2020-06-07,1.0,12.0
Aluísio Campos,2020-06-08,2.0,13.0
Aluísio Campos,2020-06-09,0.0,15.0
Aluísio Campos,2020-06-10,0.0,15.0
Aluísio Campos,2020-06-11,3.0,15.0
Aluísio Campos,2020-06-12,0.0,18.0
Aluísio Campos,2020-06-13,0.0,18.0
Aluísio Campos,2020-06-14,1.0,18.0
Aluísio Campos,2020-06-15,0.0,19.0
Aluísio Campos,2020-06-16,0.0,19.0
Aluísio Campos,2020-06-17,2.0,19.0
Aluísio Campos,2020-06-18,0.0,21.0
Aluísio Campos,2020-06-19,0.0,21.0
Aluísio Campos,2020-06-20,0.0,21.0
Aluísio Campos,2020-06-21,0.0,21.0
Aluísio Campos,2020-06-22,1.0,21.0
Aluísio Campos,2020-06-23,0.0,22.0
Aluísio Campos,2020-06-24,1.0,22.0
Aluísio Campos,2020-06-25,0.0,23.0
Aluísio Campos,2020-06-26,0.0,23.0
Aluísio Campos,2020-06-27,0.0,23.0
Aluísio Campos,2020-06-28,0.0,23.0
Aluísio Campos,2020-06-29,2.0,23.0
Aluísio Campos,2020-06-30,1.0,25.0
Aluísio Campos,2020-07-01,1.0,26.0
Aluísio Campos,2020-07-02,1.0,27.0
Aluísio Campos,2020-07-03,0.0,28.0
Araxá,2020-03-20,0.0,0.0
Araxá,2020-03-21,0.0,0.0
